filename,original_filename,degradation_type,width,height,blur_score,brightness,contrast,quality_issues,quality_status
0000000_00098_d_0000001_blur.jpg,0000000_00098_d_0000001.jpg,blur,1360,765,10.14,81.02,50.0,blurry,not_usable
0000000_00098_d_0000001_bright.jpg,0000000_00098_d_0000001.jpg,bright,1360,765,281.41,123.9,59.27,none,usable
0000000_00098_d_0000001_dark.jpg,0000000_00098_d_0000001.jpg,dark,1360,765,86.44,41.33,33.77,"blurry, underexposed, low_contrast",not_usable
0000000_00098_d_0000001_lowcontrast.jpg,0000000_00098_d_0000001.jpg,lowcontrast,1360,765,74.1,80.15,30.77,"blurry, low_contrast",not_usable
0000000_00098_d_0000001_noise.jpg,0000000_00098_d_0000001.jpg,noise,1360,765,561.79,81.01,51.9,none,usable
0000000_00098_d_0000001_original.jpg,0000000_00098_d_0000001.jpg,original,1360,765,202.64,81.02,51.74,none,usable
0000000_01013_d_0000003_blur.jpg,0000000_01013_d_0000003.jpg,blur,1360,765,3.4,86.88,50.14,blurry,not_usable
0000000_01013_d_0000003_bright.jpg,0000000_01013_d_0000003.jpg,bright,1360,765,1553.3,152.34,59.59,none,usable
0000000_01013_d_0000003_dark.jpg,0000000_01013_d_0000003.jpg,dark,1360,765,488.05,40.08,35.18,underexposed,not_usable
0000000_01013_d_0000003_lowcontrast.jpg,0000000_01013_d_0000003.jpg,lowcontrast,1360,765,395.6,85.91,29.79,low_contrast,not_usable
0000000_01013_d_0000003_noise.jpg,0000000_01013_d_0000003.jpg,noise,1360,765,1867.77,86.89,55.26,none,usable
0000000_01013_d_0000003_original.jpg,0000000_01013_d_0000003.jpg,original,1360,765,1235.13,86.89,55.01,none,usable
0000000_01619_d_0000004_blur.jpg,0000000_01619_d_0000004.jpg,blur,1360,765,3.51,95.29,50.09,blurry,not_usable
0000000_01619_d_0000004_bright.jpg,0000000_01619_d_0000004.jpg,bright,1360,765,2218.43,151.0,70.05,none,usable
0000000_01619_d_0000004_dark.jpg,0000000_01619_d_0000004.jpg,dark,1360,765,611.59,55.22,38.88,underexposed,not_usable
0000000_01619_d_0000004_lowcontrast.jpg,0000000_01619_d_0000004.jpg,lowcontrast,1360,765,456.77,94.45,33.32,low_contrast,not_usable
0000000_01619_d_0000004_noise.jpg,0000000_01619_d_0000004.jpg,noise,1360,765,1738.26,95.28,55.4,none,usable
0000000_01619_d_0000004_original.jpg,0000000_01619_d_0000004.jpg,original,1360,765,1249.4,95.29,55.2,none,usable
0000000_02021_d_0000005_blur.jpg,0000000_02021_d_0000005.jpg,blur,1360,765,3.75,138.34,49.97,blurry,not_usable
0000000_02021_d_0000005_bright.jpg,0000000_02021_d_0000005.jpg,bright,1360,765,1756.37,212.47,41.87,overexposed,not_usable
0000000_02021_d_0000005_dark.jpg,0000000_02021_d_0000005.jpg,dark,1360,765,1105.46,85.67,41.36,none,usable
0000000_02021_d_0000005_lowcontrast.jpg,0000000_02021_d_0000005.jpg,lowcontrast,1360,765,341.3,137.97,24.41,low_contrast,not_usable
0000000_02021_d_0000005_noise.jpg,0000000_02021_d_0000005.jpg,noise,1360,765,2292.27,138.31,56.31,none,usable
0000000_02021_d_0000005_original.jpg,0000000_02021_d_0000005.jpg,original,1360,765,1942.45,138.34,56.2,none,usable
0000000_02309_d_0000006_blur.jpg,0000000_02309_d_0000006.jpg,blur,1360,765,4.15,108.88,47.67,blurry,not_usable
0000000_02309_d_0000006_bright.jpg,0000000_02309_d_0000006.jpg,bright,1360,765,1387.2,201.14,52.18,overexposed,not_usable
0000000_02309_d_0000006_dark.jpg,0000000_02309_d_0000006.jpg,dark,1360,765,555.87,64.41,36.45,none,usable
0000000_02309_d_0000006_lowcontrast.jpg,0000000_02309_d_0000006.jpg,lowcontrast,1360,765,153.22,107.98,17.23,low_contrast,not_usable
0000000_02309_d_0000006_noise.jpg,0000000_02309_d_0000006.jpg,noise,1360,765,2603.37,108.87,54.66,none,usable
0000000_02309_d_0000006_original.jpg,0000000_02309_d_0000006.jpg,original,1360,765,1275.37,108.88,54.14,none,usable
0000000_02652_d_0000007_blur.jpg,0000000_02652_d_0000007.jpg,blur,1360,765,16.3,86.31,48.04,blurry,not_usable
0000000_02652_d_0000007_bright.jpg,0000000_02652_d_0000007.jpg,bright,1360,765,1541.93,134.4,55.43,none,usable
0000000_02652_d_0000007_dark.jpg,0000000_02652_d_0000007.jpg,dark,1360,765,1029.36,69.1,46.23,none,usable
