accuracy,loss,val_accuracy,val_loss,epoch
0.5103174448013306,1.2331236600875854,0.2777777910232544,2.0513811111450195,1
0.6222222447395325,0.963958740234375,0.1666666716337204,3.3117496967315674,2
0.6650793552398682,0.832971453666687,0.1666666716337204,4.902118682861328,3
0.6793650984764099,0.7955352067947388,0.31111112236976624,2.98396635055542,4
0.6984127163887024,0.6996442079544067,0.3166666626930237,2.3287198543548584,5
0.7150793671607971,0.6724227070808411,0.5833333134651184,1.1755211353302002,6
0.7333333492279053,0.6299285888671875,0.5444444417953491,1.1605323553085327,7
0.7269841432571411,0.6161929368972778,0.6777777671813965,1.10935378074646,8
0.7531746029853821,0.6056615710258484,0.5222222208976746,1.9455937147140503,9
0.7658730149269104,0.5314479470252991,0.3722222149372101,3.851605176925659,10
0.779365062713623,0.5613141059875488,0.5555555820465088,1.3281139135360718,11
0.7841269969940186,0.5171534419059753,0.7722222208976746,0.42760345339775085,12
0.7547619342803955,0.5947091579437256,0.7166666388511658,0.8422225713729858,13
0.7825396656990051,0.5233330726623535,0.5166666507720947,2.723435163497925,14
0.776190459728241,0.5252468585968018,0.5444444417953491,2.1217668056488037,15
0.8071428537368774,0.455453485250473,0.4277777671813965,3.933816909790039,16
